,ROUTE,Number_of_Trips,Average_Actual_distance_to_destination,#source_states,#destination_states,destination_states,source_states,source_cities,route_type,destination_cities
89,Muzaffrpur DalsinghSarai Rusera Manjhaul -- DalsinghSarai Rusera Manjhaul Muzaffrpur,21.0,186.0202850548723,1,1,Bihar,Bihar,Muzaffrpur DalsinghSarai Rusera Manjhaul,FTL,DalsinghSarai Rusera Manjhaul Muzaffrpur
90,Chandigarh Moga Muktsar Ludhiana -- Moga Muktsar Ludhiana Chandigarh,21.0,387.521841337221,1,1,Punjab,Punjab,Chandigarh Moga Muktsar Ludhiana,FTL,Moga Muktsar Ludhiana Chandigarh
91,Dhar Ratlam Jaora -- Ratlam Jaora Ahmedabad,21.0,333.38079113459406,1,2,Madhya Pradesh Gujarat,Madhya Pradesh,Dhar Ratlam Jaora,FTL,Ratlam Jaora Ahmedabad
92,Hyderabad -- Gulbarga,21.0,164.6933326978981,1,1,Karnataka,Telangana,Hyderabad,FTL,Gulbarga
93,Guntakal Rayadurgam Kalyandurg Anantapur Gooty -- Rayadurgam Kalyandurg Anantapur Gooty Guntakal,21.0,208.66998835841736,1,1,Andhra Pradesh,Andhra Pradesh,Guntakal Rayadurgam Kalyandurg Anantapur Gooty,FTL,Rayadurgam Kalyandurg Anantapur Gooty Guntakal
94,Bhadrachalam Manuguru Sathupally Khammam -- Manuguru Sathupally Khammam Tallada,21.0,175.04142499174753,1,1,Telangana,Telangana,Bhadrachalam Manuguru Sathupally Khammam,FTL,Manuguru Sathupally Khammam Tallada
95,Ahmedabad Godhra Dahod -- Godhra Dahod Jhabua,21.0,187.7915730039502,1,2,Gujarat Madhya Pradesh,Gujarat,Ahmedabad Godhra Dahod,FTL,Godhra Dahod Jhabua
96,"Kazhakkoottam Attingal Kalluvathukal Pangodu Kilimanoor
 Trivandrum -- Attingal Kalluvathukal Kilimanoor Trivandrum Pangodu",21.0,49.18053805006513,1,1,Kerala,Kerala,"Kazhakkoottam Attingal Kalluvathukal Pangodu Kilimanoor
 Trivandrum",Carting,Attingal Kalluvathukal Kilimanoor Trivandrum Pangodu
97,Kamareddy Bodhan Banswada Yellareddy Medak Narsapur -- Bodhan Banswada Yellareddy Medak Narsapur Kamareddy,21.0,177.92332991511879,1,1,Telangana,Telangana,Kamareddy Bodhan Banswada Yellareddy Medak Narsapur,FTL,Bodhan Banswada Yellareddy Medak Narsapur Kamareddy
98,Kakinada Tuni Rajamundry Mandapeta -- Tuni Rajamundry Mandapeta Kakinada,21.0,166.68913122925088,1,1,Andhra Pradesh,Andhra Pradesh,Kakinada Tuni Rajamundry Mandapeta,FTL,Tuni Rajamundry Mandapeta Kakinada
99,Delhi -- Chandigarh,21.0,210.095182859591,1,1,Punjab,Delhi,Delhi,FTL,Chandigarh
100,Sonipat Moradabad Rudrapur -- Moradabad Rudrapur Sonipat,21.0,368.09759561167516,3,3,Uttar Pradesh Uttarakhand Haryana,Haryana Uttar Pradesh Uttarakhand,Sonipat Moradabad Rudrapur,FTL,Moradabad Rudrapur Sonipat
101,Bhatinda TalwandiSabo Jhunir Mansa -- TalwandiSabo Mansa Bhatinda Jhunir,21.0,101.92531026260724,1,1,Punjab,Punjab,Bhatinda TalwandiSabo Jhunir Mansa,FTL,TalwandiSabo Mansa Bhatinda Jhunir
102,FBD Palwal -- Palwal FBD,21.0,59.70126391762618,1,1,Haryana,Haryana,FBD Palwal,Carting,Palwal FBD
103,Puttaprthi Hindupur Madakasira Pavagada -- Hindupur Puttaprthi Madakasira Pavagada,21.0,113.66696039702958,2,2,Andhra Pradesh Karnataka,Andhra Pradesh Karnataka,Puttaprthi Hindupur Madakasira Pavagada,Carting,Hindupur Puttaprthi Madakasira Pavagada
104,Bengaluru Anantapur -- Anantapur Hyderabad Bengaluru,20.0,382.5941084694477,2,3,Andhra Pradesh Telangana Karnataka,Karnataka Andhra Pradesh,Bengaluru Anantapur,FTL,Anantapur Hyderabad Bengaluru
105,Jamtara Dumka Pakur Dhanbad -- Dumka Pakur Dhanbad Jamtara,20.0,162.7934457398248,1,1,Jharkhand,Jharkhand,Jamtara Dumka Pakur Dhanbad,FTL,Dumka Pakur Dhanbad Jamtara
106,Mumbai -- Bhiwandi,20.0,27.124909409880466,1,1,Maharashtra,Maharashtra,Mumbai,Carting,Bhiwandi
107,Pune -- Bhiwandi,20.0,101.12406511150212,1,1,Maharashtra,Maharashtra,Pune,FTL,Bhiwandi
108,Guskhara Panagarh Bolpur Nanoor Durgapur -- Bolpur Guskhara Nanoor Durgapur Panagarh,20.0,113.90525358422592,1,1,West Bengal,West Bengal,Guskhara Panagarh Bolpur Nanoor Durgapur,FTL,Bolpur Guskhara Nanoor Durgapur Panagarh
109,Alwar Bharatpur Weir Kherli -- Bharatpur Bayana Kherli Alwar,20.0,131.4201235035951,1,1,Rajasthan,Rajasthan,Alwar Bharatpur Weir Kherli,FTL,Bharatpur Bayana Kherli Alwar
110,Bhopal -- Bhopal,20.0,17.379471755734777,1,1,Madhya Pradesh,Madhya Pradesh,Bhopal,Carting,Bhopal
111,Ahmedabad -- Ahmedabad,20.0,26.073180021715324,1,1,Gujarat,Gujarat,Ahmedabad,Carting,Ahmedabad
112,Bengaluru -- Bengaluru,20.0,10.433661497475397,1,1,Karnataka,Karnataka,Bengaluru,Carting,Bengaluru
113,Bhiwandi -- Mumbai,20.0,22.932675585826267,1,1,Maharashtra,Maharashtra,Bhiwandi,Carting,Mumbai
114,Kanpur -- Kanpur,20.0,20.756462487107328,1,1,Uttar Pradesh,Uttar Pradesh,Kanpur,Carting,Kanpur
115,Gurgaon -- GGN,20.0,29.573333924793815,1,1,Haryana,Haryana,Gurgaon,Carting,GGN
116,Kanpur Bewar Ghatampur -- Ghatampur Kanpur Hamirpur,20.0,104.26249046808968,1,1,Uttar Pradesh,Uttar Pradesh,Kanpur Bewar Ghatampur,Carting,Ghatampur Kanpur Hamirpur
117,Gurgaon -- Delhi,20.0,32.539499980239455,1,1,Delhi,Haryana,Gurgaon,Carting,Delhi
118,Warangal Khanpur Mahbubabad Yellandu Rayaparthi -- Khanpur Mahbubabad Yellandu Rayaparthi Warangal,20.0,161.27928622337492,1,1,Telangana,Telangana,Warangal Khanpur Mahbubabad Yellandu Rayaparthi,FTL,Khanpur Mahbubabad Yellandu Rayaparthi Warangal
119,Chandigarh -- Chandigarh Zirakpur,20.0,44.69010295495441,2,1,Punjab,Chandigarh Punjab,Chandigarh,Carting,Chandigarh Zirakpur
120,Aurangabad -- Aurangabad,20.0,22.36375712877022,1,1,Maharashtra,Maharashtra,Aurangabad,Carting,Aurangabad
121,Bengaluru -- Bengaluru,20.0,35.36214283629246,1,1,Karnataka,Karnataka,Bengaluru,Carting,Bengaluru
122,FBD -- Palwal,20.0,38.08871227778923,1,1,Haryana,Haryana,FBD,Carting,Palwal
123,Bengaluru -- Bengaluru,20.0,27.573082292460658,1,1,Karnataka,Karnataka,Bengaluru,Carting,Bengaluru
124,Bhiwandi -- Akola,20.0,448.01354741004127,1,1,Maharashtra,Maharashtra,Bhiwandi,FTL,Akola
125,Ahmedabad Gandhinagar Amd -- Amd Ahmedabad Gandhinagar,20.0,61.58350935025119,1,1,Gujarat,Gujarat,Ahmedabad Gandhinagar Amd,Carting,Amd Ahmedabad Gandhinagar
126,Delhi -- Delhi,20.0,16.016706883300124,1,1,Delhi,Delhi,Delhi,Carting,Delhi
127,Chandigarh Gurgaon -- Gurgaon Bhiwandi,20.0,1170.8179265189488,2,2,Haryana Maharashtra,Punjab Haryana,Chandigarh Gurgaon,FTL,Gurgaon Bhiwandi
128,Hubli Ramdurg Bagalkot Rona Gadag -- Ramdurg Bagalkot Rona Gadag Hubli,20.0,237.8316811327773,1,1,Karnataka,Karnataka,Hubli Ramdurg Bagalkot Rona Gadag,FTL,Ramdurg Bagalkot Rona Gadag Hubli
129,Pali -- Ajmer,20.0,145.4841860937566,1,1,Rajasthan,Rajasthan,Pali,Carting,Ajmer
130,Hyderabad -- Hyderabad,20.0,21.77643858507266,1,1,Telangana,Telangana,Hyderabad,Carting,Hyderabad
131,Kanpur Unnao -- Unnao Kanpur,20.0,46.37458880609235,1,1,Uttar Pradesh,Uttar Pradesh,Kanpur Unnao,Carting,Unnao Kanpur
132,"Jaipur Chomu Reengus Sikar Bikaner Didwana Sujangarh
 Nokha Nagaur Tarnau -- Chomu Reengus Sikar Bikaner Nokha Sujangarh Jaipur Nagaur
 Didwana Tarnau",20.0,351.61179571973815,1,1,Rajasthan,Rajasthan,"Jaipur Chomu Reengus Sikar Bikaner Didwana Sujangarh
 Nokha Nagaur Tarnau",FTL,"Chomu Reengus Sikar Bikaner Nokha Sujangarh Jaipur Nagaur
 Didwana Tarnau"
133,Gurgaon -- Jaipur,20.0,195.87877669038258,1,1,Rajasthan,Haryana,Gurgaon,FTL,Jaipur
134,Hubli Bailhongal Saundatti Gokak Dharwad -- Dharwad Gokak Bailhongal Hubli,20.0,84.23514315767282,1,1,Karnataka,Karnataka,Hubli Bailhongal Saundatti Gokak Dharwad,FTL,Dharwad Gokak Bailhongal Hubli
135,"Ajmer Beawar Bilara Bijainagar Kekri Nasirabad Asind
 Badnaur Raipur -- Beawar Bilara Badnaur Kekri Nasirabad Ajmer Bijainagar
 Raipur",20.0,178.73723332414548,1,1,Rajasthan,Rajasthan,"Ajmer Beawar Bilara Bijainagar Kekri Nasirabad Asind
 Badnaur Raipur",FTL,"Beawar Bilara Badnaur Kekri Nasirabad Ajmer Bijainagar
 Raipur"
136,"Shrirampur Shirdi Kopargaon Vaijiapur Nashik Sinnar
 Sangamner -- Shirdi Kopargaon Vaijiapur Nashik Shrirampur Sinnar
 Sangamner",20.0,204.5095291382335,1,1,Maharashtra,Maharashtra,"Shrirampur Shirdi Kopargaon Vaijiapur Nashik Sinnar
 Sangamner",Carting,"Shirdi Kopargaon Vaijiapur Nashik Shrirampur Sinnar
 Sangamner"
137,Ludhiana Khanna Mandi SirhindFatehgarh Rajpura -- Khanna Ludhiana Rajpura Mandi SirhindFatehgarh,20.0,67.45704887614546,1,1,Punjab,Punjab,Ludhiana Khanna Mandi SirhindFatehgarh Rajpura,FTL,Khanna Ludhiana Rajpura Mandi SirhindFatehgarh
138,Atmakur Srisailam Kurnool Nandikotkr -- Srisailam Kurnool Nandikotkr Atmakur,20.0,141.57220575066722,1,1,Andhra Pradesh,Andhra Pradesh,Atmakur Srisailam Kurnool Nandikotkr,FTL,Srisailam Kurnool Nandikotkr Atmakur
139,Bengaluru -- Bengaluru,20.0,41.54163758158072,1,1,Karnataka,Karnataka,Bengaluru,Carting,Bengaluru
140,Karimnagar Chinnur Manthani Ramagundam -- Ramagundam Manthani Karimnagar Chinnur Peddapalli,20.0,76.47092868985717,1,1,Telangana,Telangana,Karimnagar Chinnur Manthani Ramagundam,FTL,Ramagundam Manthani Karimnagar Chinnur Peddapalli
141,Ahmedabad Gandhinagar Amd -- Amd Ahmedabad Gandhinagar,19.0,48.12476008385912,1,1,Gujarat,Gujarat,Ahmedabad Gandhinagar Amd,Carting,Amd Ahmedabad Gandhinagar
